fiscal_year,firm_count,value_added_trn,employee_comp_trn,dividend_trn,share_buyback_trn,shareholder_payout_trn,labor_share_bottom_up,labor_share_reported_vw,labor_share_median_firm,shareholder_payout_to_va,dividend_to_va,buyback_to_va,labor_share_bottom_up_chg,shareholder_payout_to_va_chg,dividend_to_va_chg,buyback_to_va_chg,labor_minus_payout_pp,payout_yoy_growth
2008,2,0.79882472,0.166778322,0.003853488,0.005148761,0.009002249,0.20877962064068323,0.2087689930827378,0.3933642743574992,0.011269367077173074,0.004823946860332514,0.00644542021684056,,,,,19.751025356351015,
2009,17,16.407277329999996,6.544638165,0.801557835,0.025369838000000002,0.8269276729999999,0.39888630108259415,0.398886270086897,0.6042450312576781,0.050400054583583986,0.04885379937684031,0.0015462552067436778,0.19010668044191092,0.03913068750641091,0.044029852516507796,-0.004899165010096882,34.84862464990102,90.85789828741683
2010,601,148.47426185,57.378766549,7.128699921,1.6720292700000001,8.800729191,0.3864559812189428,0.38662829877930116,0.4714322528097387,0.059274443134737835,0.04801303493397364,0.011261408200764192,-0.01243031986365134,0.008874388551153849,-0.0008407644428666747,0.009715152994020515,32.718153808420496,9.642683124960556
2011,613,180.93550499000003,73.058832924,8.014209272999999,1.6194105369999998,9.633619809999999,0.40378383959542835,0.4037771881076451,0.5069068032317562,0.05324339084544204,0.04429318211173053,0.008950208733711504,0.01732785837648554,-0.006031052289295798,-0.0037198528222431096,-0.002311199467052688,35.05404487499863,0.09463881923008688
2012,604,200.82909919000002,78.876824273,8.95775661,1.256002426,10.213759035999999,0.39275595315187045,0.39274969228098533,0.5252601656147162,0.050857963697466896,0.04460387785499781,0.006254085842469091,-0.0110278864435579,-0.0023854271479751415,0.0003106957432672808,-0.002696122891242413,34.18979894544035,0.06022027414843567
2013,644,214.12251086,89.671723976,10.351647084,0.9542132779999999,11.305860362,0.4187870000956143,0.41878056025582133,0.5438527069741292,0.05280089569560543,0.04834450634089673,0.00445638935470869,0.026031046943743863,0.001942931998138532,0.003740628485898921,-0.0017976964877604012,36.59861044000089,0.10692452427658794
2014,659,217.61040053,95.888930706,12.139682360000002,3.4091711350000002,15.548853495000001,0.440644980536124,0.4406470752200541,0.5414334142646797,0.07145271300052784,0.05578631504024282,0.01566639796028503,0.021857980440509683,0.018651817304922415,0.007441808699346089,0.01121000860557634,36.91922675355961,0.37529148575557114
2015,664,247.90110722000003,95.794581781,15.575003273,9.285315407,24.86031868,0.386422565252954,0.3864183337788804,0.5305832149061793,0.10028320953781658,0.0628274857166247,0.037455723821191896,-0.05422241528317001,0.02883049653728874,0.007041170676381887,0.021789325860906865,28.61393557151374,0.598852203990105
2016,662,238.11054187999997,101.78656487100001,17.129174843,10.160748956,27.289923799,0.42747609604910797,0.4274763347730912,0.5267710817966733,0.1146103132752234,0.07193791046694838,0.042672402808275035,0.04105353079615398,0.014327103737406824,0.00911042475032367,0.00521667898708314,31.286578277388454,0.09773024836381539
2017,671,280.48115246,104.72694358300001,16.465792004,9.600529865000002,26.066321869,0.3733831762472359,0.37339171024709644,0.528034457107524,0.09293430820709914,0.05870552035166863,0.034228787855430515,-0.054092919801872086,-0.02167600506812427,-0.013232390115279748,-0.00844361495284452,28.044886804013675,-0.04483713252599253
2018,674,284.88995909000005,104.388488637,15.712824660999999,5.236058524,20.948883185,0.3664168753803726,0.36641943182134484,0.563085433876525,0.07353324508843782,0.05515401353978971,0.018379231548648116,-0.006966300866863284,-0.019401063118661313,-0.003551506811878921,-0.0158495563067824,29.288363029193476,-0.19632377401454693
2019,679,240.32354295,109.098462326,14.844648658,2.747086041,17.591734699,0.4539649382112274,0.4537227091539681,0.5929684694883353,0.0732002136913403,0.06176943164111255,0.01143078205022776,0.08754806283085481,-0.00033303139709751906,0.006615418101322844,-0.006948449498420356,38.07647245198871,-0.16025429405247793
2020,676,264.97683546,109.751646932,27.786105710999998,4.159167845,31.945273555999997,0.4141933642669973,0.41419814913412284,0.5756093730864897,0.1205587405425194,0.1048623954722808,0.015696345070238614,-0.03977157394423009,0.0473585268511791,0.04309296383116824,0.004265563020010854,29.363462372447792,0.8159251547725945
2021,706,337.16436416,121.44480594200002,21.335697048,2.7233387430000002,24.059035791,0.36019466720501003,0.3602065009354072,0.4970213501742672,0.07135699483229753,0.0632798104306042,0.008077184401693326,-0.05399869706198729,-0.04920174571022187,-0.0415825850416766,-0.007619160668545288,28.88376723727125,-0.24686712264884625
2022,698,333.0680708,128.551835897,21.198113276,3.597230897,24.795344173,0.3859626519835116,0.38595853268023916,0.5273719645339401,0.07444527514583965,0.06364498772002976,0.010800287425809896,0.025767984778501563,0.0030882803135421216,0.00036517728942556116,0.002723103024116571,31.151737683767195,0.030604234866113744
2023,691,276.10361604,134.844747813,20.640224771,4.3584631940000005,24.998687965000002,0.4883845773083414,0.4883895336841745,0.54961123415471,0.09054096546630654,0.07475535839418265,0.01578560707212388,0.1024219253248298,0.016095690320466885,0.011110370674152895,0.0049853196463139834,39.78436118420349,0.008200886044623878
2024,705,362.59296234,147.616423987,22.623601124,9.123862824,31.747463948,0.40711331801465434,0.4071075784680852,0.5434419036149835,0.08755675715026896,0.062393933346080954,0.025162823804188016,-0.08127125929368706,-0.002984208316037573,-0.012361425048101699,0.009377216732064136,31.955656086438537,0.26996520747203934
2025,693,429.53611520000004,156.265912945,26.607641755,15.794327344000003,42.401969099,0.36380156968230637,0.36541280085930244,0.5695312801738299,0.09871572517076206,0.06194506308884175,0.03677066208192033,-0.043311748332347966,0.011158968020493099,-0.00044887025723920615,0.011607838277732312,26.508584451154434,0.33560177179667927
