ticker,name,signal_date,balanced_raw_score,balanced_score,value_momentum_raw_score,value_momentum_score,defensive_raw_score,defensive_score,aggressive_raw_score,aggressive_score,ml_signal_date,ml_score,regime,target_exposure,composite_score,factor_scope,date,adj_close,close,volume,trading_value,kis_price,kis_change_rate,kis_accum_volume,kis_quote_error,target_weight,target_value,execution_price,target_quantity,target_order_value
000660,에스케이하이닉스(주),2026-06-30,0.9754179189694676,3.0,1.6831799492648956,3.0,0.0511033036089365,-0.013464414344939,3.1819430039996095,3.0,2026-05-29,3.0,neutral,0.8,2.3973071171310125,institutional_core_satellite_regime_overlay,2026-06-30,2650000,2650000,5109213,13522108237000,2201000.0,-6.06,6351195.0,,0.02666666666666667,266666.6666666667,2201000.0,0,0.0
011070,엘지이노텍(주),2026-06-30,0.798370721067064,2.9362999844509914,1.4719866077816897,3.0,-0.2217476389909256,-0.8045757593565631,2.5889034495085563,3.0,2026-05-29,1.8677115348324071,neutral,0.8,1.9871471488755656,institutional_core_satellite_regime_overlay,2026-06-30,981000,981000,255297,242252726000,814000.0,-4.8,329090.0,,0.02666666666666667,266666.6666666667,814000.0,0,0.0
009150,삼성전기(주),2026-06-30,0.7303125385930757,2.6977788673760577,1.5653028650926428,3.0,-0.5702987954621387,-1.8151743359049208,3.1635222398280396,3.0,2026-05-29,3.0,neutral,0.8,1.916076679769439,institutional_core_satellite_regime_overlay,2026-06-30,2184000,2184000,1322616,2864321365500,1648000.0,-9.85,1107652.0,,0.02666666666666667,266666.6666666667,1648000.0,0,0.0
047040,(주)대우건설,2026-06-30,0.492018892822036,1.862639512855529,1.326787813600616,3.0,-0.6724475062932462,-2.1113470492801896,2.135450351569854,3.0,2026-05-29,3.0,neutral,0.8,1.522786395286174,institutional_core_satellite_regime_overlay,2026-06-30,18840,18840,4480768,85124986345,16820.0,-6.97,4455410.0,,0.02666666666666667,266666.6666666667,16820.0,15,252300.0
081660,(주)미스토홀딩스,2026-06-30,0.5096645910025382,1.924481770297375,-0.0431190023140525,0.1231209351684992,0.8378072940063395,2.2675262468528556,0.6287781077604555,0.9889227530755824,2026-05-29,0.431150773314683,neutral,0.8,1.3341522991861576,institutional_core_satellite_regime_overlay,2026-06-30,41450,41450,202003,8628119750,46200.0,1.09,169562.0,,0.02666666666666667,266666.6666666667,46200.0,5,231000.0
005930,삼성전자(주),2026-06-30,0.3726450765444695,1.444274299842304,0.7276720306427754,2.0302274154969924,-0.2352620205262476,-0.8437597198425926,1.6099164576416656,2.596866902804599,2026-05-29,2.0215514408610056,neutral,0.8,1.2193135472400027,institutional_core_satellite_regime_overlay,2026-06-30,334000,334000,29237216,9724402126750,,,,KIS API HTTP 500: 초당 거래건수를 초과하였습니다.,0.02666666666666667,266666.6666666667,334000.0,0,0.0
402340,에스케이스퀘어(주),2026-06-30,0.3812251874847217,1.4743447127111462,0.5699122505565646,1.639895034769281,-0.5925813981284264,-1.8797811120359385,3.654876825022492,3.0,2026-05-29,3.0,neutral,0.8,1.141760669631127,institutional_core_satellite_regime_overlay,2026-06-30,1697000,1697000,1515394,2530668448000,1356000.0,-9.3,1196192.0,,0.02666666666666667,266666.6666666667,1356000.0,0,0.0
138930,(주)BNK금융지주,2026-06-30,0.4056481981421722,1.5599391786899364,0.0822330744976941,0.4332695328931782,0.5006168468030584,1.2898672156240096,0.4759714285227465,0.7384946600859027,2026-05-29,0.8077866672094292,neutral,0.8,1.130160354621298,institutional_core_satellite_regime_overlay,2026-06-30,17050,17050,811368,13879975310,18470.0,-0.75,902063.0,,0.02666666666666667,266666.6666666667,18470.0,14,258580.0
000990,(주)디비하이텍,2026-06-30,0.3039722826004153,1.2035991755770783,0.5182907565297536,1.5121721091338918,-0.0820005824947946,-0.3993893935971454,0.9458875109962596,1.5086192972161772,2026-05-29,1.629810578590354,neutral,0.8,1.0299583290562515,institutional_core_satellite_regime_overlay,2026-06-30,144200,144200,911207,130996077150,111800.0,-0.97,588401.0,,0.02666666666666667,266666.6666666667,111800.0,2,223600.0
034730,에스케이(주),2026-06-30,0.3560220898630208,1.386016303400858,0.6523353960752624,1.8438280181938185,-0.1897752949510484,-0.711874287059819,1.31275385775121,2.1098602904649897,2026-05-29,0.997874259881858,neutral,0.8,0.9803721195635148,institutional_core_satellite_regime_overlay,2026-06-30,834000,834000,377589,306951163000,626000.0,-6.15,362270.0,,0.02666666666666667,266666.6666666667,626000.0,0,0.0
071050,한국투자금융지주(주),2026-06-30,0.3322702183142596,1.302773955038174,0.1481692056680317,0.5964100180132011,0.257852138060535,0.5859887044315407,0.5665893797387301,0.8870044034221118,2026-05-29,0.9471374586296084,neutral,0.8,0.9470168182301396,institutional_core_satellite_regime_overlay,2026-06-30,221000,221000,304883,68156857250,243500.0,-2.4,269103.0,,0.02666666666666667,266666.6666666667,243500.0,1,243500.0
175330,(주)JB금융지주,2026-06-30,0.2722227580591064,1.0923277342175417,0.0407845578594014,0.3307167899303281,0.7287551654265695,1.9513375788018112,-0.0139850895245407,-0.064473358553996,2026-05-29,0.1661579343100127,neutral,0.8,0.9265735542954472,institutional_core_satellite_regime_overlay,2026-06-30,24800,24800,337605,8347660950,28000.0,7.28,644613.0,,0.02666666666666667,266666.6666666667,28000.0,9,252000.0
000210,디엘(주),2026-06-30,0.3685119198743855,1.4297889711109508,0.1353972174258474,0.5648093110746278,0.4694542675477123,1.199513597073818,0.2770887730619533,0.4125546921196393,2026-05-29,-0.0325260907407285,neutral,0.8,0.9182749519259238,institutional_core_satellite_regime_overlay,2026-06-30,43250,43250,63604,2781410775,45250.0,-0.98,75685.0,,0.02666666666666667,266666.6666666667,45250.0,5,226250.0
139130,(주)아이엠금융지주,2026-06-30,0.2349207164853981,0.961596581813684,0.0561047177701239,0.3686222338135138,0.3014171035927497,0.7123021345746727,0.2487932646186375,0.3661824376149141,2026-05-29,0.5819022859749969,neutral,0.8,0.7172039635981104,institutional_core_satellite_regime_overlay,2026-06-30,16810,16810,604184,10186142860,,,,KIS API HTTP 500: 초당 거래건수를 초과하였습니다.,0.02666666666666667,266666.6666666667,16810.0,15,252150.0
096770,에스케이이노베이션(주),2026-06-30,0.3222323180030073,1.2675944790619855,0.0376068588581956,0.3228544639578978,0.323432244485308,0.7761334248615217,0.2980469374117723,0.4469020986392508,2026-05-29,-0.0898882963111868,neutral,0.8,0.7088577101264408,institutional_core_satellite_regime_overlay,2026-06-30,94900,94900,342957,33011396350,103800.0,7.56,852970.0,,0.02666666666666667,266666.6666666667,103800.0,2,207600.0
161890,한국콜마(주),2026-06-30,0.2487637047412303,1.010111615604048,0.183659704894488,0.684221315979688,0.4575861300257715,1.1651028006576425,0.0526742615697859,0.0447716970794243,2026-05-29,-0.3612896369217172,neutral,0.8,0.7016515421847419,institutional_core_satellite_regime_overlay,2026-06-30,99500,99500,454716,45648545750,115100.0,-1.03,482238.0,,0.02666666666666667,266666.6666666667,115100.0,2,230200.0
000120,씨제이대한통운(주),2026-06-30,0.2082799255760897,0.8682295394323127,0.108561836470763,0.49841267861096,0.5419260597848349,1.409640256288599,-0.3362291236015288,-0.5925848215723413,2026-05-29,-0.3003215377177014,neutral,0.8,0.6688380952092966,institutional_core_satellite_regime_overlay,2026-06-30,74100,74100,50943,3779847850,76700.0,0.39,56743.0,,0.02666666666666667,266666.6666666667,76700.0,3,230100.0
005380,현대자동차(주),2026-06-30,0.2130235044987383,0.8848541935508043,0.3793834971625821,1.168485009547925,-0.0698776589915452,-0.3642398638695048,0.6037690543732056,0.9479365240802956,2026-05-29,0.7420873070049295,neutral,0.8,0.6632081679569916,institutional_core_satellite_regime_overlay,2026-06-30,495000,495000,786003,390188412250,479500.0,-4.48,949321.0,,0.02666666666666667,266666.6666666667,479500.0,0,0.0
004000,롯데정밀화학(주),2026-06-30,0.1922349130826141,0.8119971487879143,0.1221240341176652,0.5319685373508887,0.338832156245796,0.8207843422811713,-0.1136560264026281,-0.227819638791166,2026-05-29,0.1791799044395905,neutral,0.8,0.6311854163294958,institutional_core_satellite_regime_overlay,2026-06-30,44050,44050,39926,1768049000,44850.0,-0.55,53988.0,,0.02666666666666667,266666.6666666667,44850.0,5,224250.0
066570,엘지전자(주),2026-06-30,0.2783949002410762,1.1139590237182777,0.5309731247984215,1.543551076554292,-0.1079021132708172,-0.4744889870045592,0.8444301470835194,1.3423453209006353,2026-05-29,-0.1571652670731144,neutral,0.8,0.6279629739826348,institutional_core_satellite_regime_overlay,2026-06-30,203000,203000,1364895,276385234700,189100.0,1.83,1826162.0,,0.02666666666666667,266666.6666666667,189100.0,1,189100.0
073240,금호타이어(주),2026-06-30,0.1770650904496945,0.7588320052489207,0.0826616081899453,0.4343298194644897,0.507768088793205,1.3106017185559828,-0.3248027758681708,-0.5738586867791727,2026-05-29,-0.2507368717249416,neutral,0.8,0.6023717353586746,institutional_core_satellite_regime_overlay,2026-06-30,4880,4880,4854063,23569696563,6330.0,2.76,33249626.0,,0.02666666666666667,266666.6666666667,6330.0,42,265860.0
259960,(주)크래프톤,2026-06-30,0.1948297196050871,0.8210910758931543,0.0004052516021505,0.2308095085249342,0.6026362431835904,1.5856649912110876,-0.213127595177574,-0.3908391834816849,2026-05-29,-0.578348550538508,neutral,0.8,0.5760616201967645,institutional_core_satellite_regime_overlay,2026-06-30,236000,236000,247925,58867748750,,,,KIS API HTTP 500: 초당 거래건수를 초과하였습니다.,0.02666666666666667,266666.6666666667,236000.0,1,236000.0
268280,미원스페셜티케미칼(주),2026-06-30,0.1658809073711298,0.7196351923970729,-0.0079588271698156,0.2101149387310896,0.58704057674182,1.5404464974153915,-0.3753785305502761,-0.6567450492061101,2026-05-29,-0.3791861026815984,neutral,0.8,0.5621291436518058,institutional_core_satellite_regime_overlay,2026-06-30,105600,105600,7828,795540100,107100.0,3.38,2241.0,,0.02666666666666667,266666.6666666667,107100.0,2,214200.0
316140,(주)우리금융지주,2026-06-30,0.1203842511102433,0.5601846622764882,-0.0819919679790274,0.0269406715698526,0.4122537300968321,1.03366482379501,0.0648978743518673,0.0648044342197881,2026-05-29,0.4858751451952084,neutral,0.8,0.5333699930226096,institutional_core_satellite_regime_overlay,2026-06-30,29000,29000,3275950,95076887550,31550.0,1.28,2061010.0,,0.02666666666666667,266666.6666666667,31550.0,8,252400.0
456040,오씨아이(주),2026-06-30,0.1603262381580156,0.7001679386807382,0.2944497799587667,0.9583403198044256,0.0287123507473927,-0.0783853439396925,0.1735059123609346,0.2427973333367886,2026-05-29,0.3576517074037857,neutral,0.8,0.527588512125999,institutional_core_satellite_regime_overlay,2026-06-30,94500,94500,30358,2870863550,90200.0,-1.53,38184.0,,0.02666666666666667,266666.6666666667,90200.0,2,180400.0
004170,(주)신세계,2026-06-30,0.1988348324189585,0.8351276538276424,0.5012926195221082,1.470114980995755,-0.3540237903784552,-1.1881007823601033,0.9577875231555388,1.528121699640396,2026-05-29,0.6132144857607748,neutral,0.8,0.5130967984103423,institutional_core_satellite_regime_overlay,2026-06-30,755000,755000,58963,44010603500,680000.0,-1.45,115581.0,,0.02666666666666667,266666.6666666667,680000.0,0,0.0
035250,(주)강원랜드,2026-06-30,0.1341483308038947,0.6084231480058553,-0.0154456857663377,0.1915908045154155,0.4516269214278323,1.147824511331612,-0.3046148580420514,-0.5407736031437721,2026-05-29,0.0062380034852677,neutral,0.8,0.5124999230688012,institutional_core_satellite_regime_overlay,2026-06-30,14300,14300,465844,6715109710,15080.0,2.24,509846.0,,0.02666666666666667,266666.6666666667,15080.0,17,256360.0
006260,(주)엘에스,2026-06-30,0.1263725651168098,0.5811716956400022,0.112222338773738,0.5074695661002725,0.1222569913604539,0.1928404973525457,0.6102300312970469,0.9585251327586564,2026-05-29,0.6446746049712722,neutral,0.8,0.501465611940819,institutional_core_satellite_regime_overlay,2026-06-30,365500,365500,226210,82903487500,341000.0,-3.4,145837.0,,0.02666666666666667,266666.6666666667,341000.0,0,0.0
028050,삼성이앤에이(주),2026-06-30,0.104149600178127,0.5032876524697691,0.3020521144971399,0.9771501668885816,0.0134727242546768,-0.12257152595266,0.2166164816062361,0.3134493342680159,2026-05-29,0.6460082092512269,neutral,0.8,0.5014324310253374,institutional_core_satellite_regime_overlay,2026-06-30,47600,47600,1630350,77578911275,47550.0,-1.55,2044854.0,,0.02666666666666667,266666.6666666667,47550.0,5,237750.0
014820,동원시스템즈(주),2026-06-30,0.1611688185524337,0.7031209005377326,0.0112545035868184,0.2576529432329192,0.474543401641341,1.214269169033338,-0.3508801938874489,-0.6165958112114335,2026-05-29,-0.404946052452827,neutral,0.8,0.4946435721777791,institutional_core_satellite_regime_overlay,2026-06-30,18810,18810,89054,1705921665,19560.0,2.14,37121.0,,0.02666666666666667,266666.6666666667,19560.0,13,254280.0
