signal_date,rows,tickers,value_score_missing,quality_score_missing,growth_score_missing,momentum_score_missing,low_volatility_score_missing,composite_score_missing,average_weight_coverage
2007-01-31,119,119,119,119,119,119,119,119,0.0
2007-02-28,119,119,119,119,119,119,119,119,0.0
2007-03-30,119,119,119,119,119,119,119,119,0.0
2007-04-30,119,119,119,119,119,119,119,119,0.0
2007-05-31,119,119,119,119,119,119,119,119,0.0
2007-06-29,120,120,120,120,120,120,120,120,0.0
2007-07-31,121,121,110,110,110,0,0,0,0.45454545454545453
2007-08-31,121,121,110,110,110,0,0,0,0.45454545454545453
2007-09-28,123,123,112,112,112,0,0,0,0.45365853658536587
2007-10-31,123,123,112,112,112,0,0,0,0.45365853658536587
2007-11-30,123,123,112,112,112,0,0,0,0.45365853658536587
2007-12-28,124,124,113,113,113,0,0,0,0.4532258064516129
2008-01-31,124,124,112,112,112,0,0,0,0.4580645161290323
2008-02-29,124,124,112,112,112,0,0,0,0.4580645161290323
2008-03-31,124,124,0,0,0,0,0,0,0.9999999999999999
2008-04-30,124,124,0,0,0,0,0,0,0.9999999999999999
2008-05-30,124,124,0,0,0,0,0,0,0.9999999999999999
2008-06-30,124,124,0,0,0,0,0,0,0.9999999999999999
2008-07-31,126,126,1,1,1,0,0,0,0.9952380952380951
2008-08-29,126,126,1,1,1,0,0,0,0.9952380952380951
2008-09-30,126,126,1,1,1,0,0,0,0.9952380952380951
2008-10-31,127,127,2,2,2,0,0,0,0.9905511811023621
2008-11-28,127,127,2,2,2,0,0,0,0.9905511811023621
2008-12-30,127,127,2,2,2,0,0,0,0.9905511811023621
2009-01-30,127,127,2,2,2,0,0,0,0.9905511811023621
2009-02-27,127,127,2,2,2,0,0,0,0.9905511811023621
2009-03-31,127,127,0,0,0,0,0,0,0.9999999999999999
2009-04-30,127,127,0,0,0,0,0,0,0.9999999999999999
2009-05-29,128,128,0,0,0,0,0,0,0.9999999999999999
2009-06-30,128,128,0,0,0,0,0,0,0.9999999999999999
2009-07-31,129,129,1,1,1,0,0,0,0.9953488372093023
2009-08-31,129,129,1,1,1,0,0,0,0.9953488372093023
2009-09-30,129,129,1,1,1,0,0,0,0.9953488372093023
2009-10-30,130,130,1,1,1,0,0,0,0.9953846153846154
2009-11-30,131,131,1,1,1,0,0,0,0.9954198473282443
2009-12-30,132,132,1,1,1,0,0,0,0.9954545454545455
2010-01-29,133,133,1,1,1,0,0,0,0.9954887218045113
2010-02-26,134,134,2,2,2,0,0,0,0.9910447761194029
2010-03-31,135,135,1,1,1,0,0,0,0.9955555555555556
2010-04-30,135,135,1,1,1,0,0,0,0.9955555555555556
2010-05-31,136,136,1,1,1,0,0,0,0.9955882352941177
2010-06-30,136,136,1,1,1,0,0,0,0.9955882352941177
2010-07-30,137,137,2,2,2,0,0,0,0.9912408759124086
2010-08-31,137,137,2,2,2,0,0,0,0.9912408759124086
2010-09-30,138,138,2,2,2,0,0,0,0.9913043478260868
2010-10-29,138,138,2,2,2,0,0,0,0.9913043478260868
2010-11-30,138,138,2,2,2,0,0,0,0.9913043478260868
2010-12-30,138,138,2,2,2,0,0,0,0.9913043478260868
2011-01-31,139,139,2,2,2,0,0,0,0.9913669064748201
2011-02-28,140,140,2,2,2,0,0,0,0.9914285714285713
2011-03-31,141,141,1,1,1,0,0,0,0.9957446808510637
2011-04-29,141,141,1,1,1,0,0,0,0.9957446808510637
2011-05-31,142,142,2,2,2,0,0,0,0.9915492957746478
2011-06-30,145,145,3,3,3,0,0,0,0.9875862068965516
2011-07-29,145,145,3,3,3,0,0,0,0.9875862068965516
2011-08-31,145,145,3,3,3,0,0,0,0.9875862068965516
2011-09-30,145,145,3,3,3,0,0,0,0.9875862068965516
2011-10-31,145,145,3,3,3,0,0,0,0.9875862068965516
2011-11-30,145,145,3,3,3,0,0,0,0.9875862068965516
2011-12-29,146,146,3,3,3,0,0,0,0.9876712328767122
2012-01-31,146,146,3,3,3,0,0,0,0.9876712328767122
2012-02-29,146,146,3,3,3,0,0,0,0.9876712328767122
2012-03-30,146,146,3,3,3,0,0,0,0.9876712328767122
2012-04-30,146,146,0,0,0,0,0,0,1.0
2012-05-31,146,146,0,0,0,0,0,0,1.0
2012-06-29,146,146,0,0,0,0,0,0,1.0
2012-07-31,146,146,0,0,0,0,0,0,1.0
2012-08-31,146,146,0,0,0,0,0,0,1.0
2012-09-28,146,146,0,0,0,0,0,0,1.0
2012-10-31,148,148,2,2,2,0,0,0,0.9918918918918918
2012-11-30,148,148,2,2,2,0,0,0,0.9918918918918918
2012-12-28,148,148,2,2,2,0,0,0,0.9918918918918918
2013-01-31,148,148,2,2,2,0,0,0,0.9918918918918918
2013-02-28,148,148,2,2,2,0,0,0,0.9918918918918918
2013-03-29,148,148,2,2,2,0,0,0,0.9918918918918918
2013-04-30,148,148,1,1,1,0,0,0,0.9959459459459458
2013-05-31,148,148,1,1,1,0,0,0,0.9959459459459458
2013-06-28,148,148,1,1,1,0,0,0,0.9959459459459458
2013-07-31,149,149,1,1,1,0,0,0,0.995973154362416
2013-08-30,149,149,1,1,1,0,0,0,0.995973154362416
2013-09-30,150,150,2,2,2,0,0,0,0.9919999999999999
2013-10-31,151,151,2,2,2,0,0,0,0.9920529801324502
2013-11-29,151,151,2,2,2,0,0,0,0.9920529801324502
2013-12-30,152,152,3,3,3,0,0,0,0.988157894736842
2014-01-29,152,152,3,3,3,0,0,0,0.988157894736842
2014-02-28,152,152,3,3,3,0,0,0,0.988157894736842
2014-03-31,152,152,0,0,0,0,0,0,1.0
2014-04-30,153,153,1,1,1,0,0,0,0.9960784313725489
2014-05-30,153,153,1,1,1,0,0,0,0.9960784313725489
2014-06-30,153,153,1,1,1,0,0,0,0.9960784313725489
2014-07-31,153,153,1,1,1,0,0,0,0.9960784313725489
2014-08-29,153,153,1,1,1,0,0,0,0.9960784313725489
2014-09-30,153,153,1,1,1,0,0,0,0.9960784313725489
2014-10-31,154,154,2,2,2,0,0,0,0.9922077922077921
2014-11-28,156,156,2,2,2,0,0,0,0.9923076923076922
2014-12-30,157,157,2,2,2,0,0,0,0.9923566878980891
2015-01-30,157,157,2,2,2,0,0,0,0.9923566878980891
2015-02-27,157,157,2,2,2,0,0,0,0.9923566878980891
2015-03-31,157,157,0,0,0,0,0,0,1.0
2015-04-30,157,157,0,0,0,0,0,0,1.0
2015-05-29,157,157,0,0,0,0,0,0,1.0
2015-06-30,157,157,0,0,0,0,0,0,1.0
2015-07-31,157,157,0,0,0,0,0,0,1.0
2015-08-31,157,157,0,0,0,0,0,0,1.0
2015-09-30,157,157,0,0,0,0,0,0,1.0
2015-10-30,158,158,0,0,0,0,0,0,1.0
2015-11-30,159,159,0,0,0,0,0,0,1.0
2015-12-30,159,159,0,0,0,0,0,0,1.0
2016-01-29,159,159,0,0,0,0,0,0,1.0
2016-02-29,159,159,0,0,0,0,0,0,1.0
2016-03-31,159,159,0,0,0,0,0,0,1.0
2016-04-29,159,159,0,0,0,0,0,0,1.0
2016-05-31,159,159,0,0,0,0,0,0,1.0
2016-06-30,159,159,0,0,0,0,0,0,1.0
2016-07-29,159,159,0,0,0,0,0,0,1.0
2016-08-31,159,159,0,0,0,0,0,0,1.0
2016-09-30,159,159,0,0,0,0,0,0,1.0
2016-10-31,159,159,0,0,0,0,0,0,1.0
2016-11-30,161,161,0,0,0,0,0,0,1.0
2016-12-29,161,161,0,0,0,0,0,0,1.0
2017-01-31,161,161,0,0,0,0,0,0,1.0
2017-02-28,161,161,0,0,0,0,0,0,1.0
2017-03-31,161,161,0,0,0,0,0,0,1.0
2017-04-28,161,161,0,0,0,0,0,0,1.0
2017-05-31,166,166,4,4,4,0,0,0,0.9855421686746988
2017-06-30,166,166,4,4,4,0,0,0,0.9855421686746988
2017-07-31,167,167,5,5,5,0,0,0,0.9820359281437125
2017-08-31,167,167,5,5,5,0,0,0,0.9820359281437125
2017-09-29,167,167,5,5,5,0,0,0,0.9820359281437125
2017-10-31,168,168,6,6,6,0,0,0,0.9785714285714284
2017-11-30,168,168,6,6,6,0,0,0,0.9785714285714284
2017-12-28,169,169,7,7,7,0,0,0,0.9751479289940828
2018-01-31,170,170,8,8,8,0,0,0,0.9717647058823529
2018-02-28,170,170,8,8,8,0,0,0,0.9717647058823529
2018-03-30,170,170,8,8,8,0,0,0,0.9717647058823529
2018-04-30,170,170,0,0,0,0,0,0,1.0
2018-05-31,170,170,0,0,0,0,0,0,1.0
2018-06-29,170,170,0,0,0,0,0,0,1.0
2018-07-31,173,173,3,3,3,0,0,0,0.9895953757225433
2018-08-31,174,174,4,4,4,0,0,0,0.9862068965517241
2018-09-28,174,174,4,4,4,0,0,0,0.9862068965517241
2018-10-31,174,174,4,4,4,0,0,0,0.9862068965517241
2018-11-30,174,174,4,4,4,0,0,0,0.9862068965517241
2018-12-28,174,174,4,4,4,0,0,0,0.9862068965517241
2019-01-31,174,174,4,4,4,0,0,0,0.9862068965517241
2019-02-28,175,175,5,5,5,0,0,0,0.9828571428571429
2019-03-29,176,176,5,5,5,0,0,0,0.9829545454545454
2019-04-30,176,176,1,1,1,0,0,0,0.996590909090909
2019-05-31,176,176,1,1,1,0,0,0,0.996590909090909
2019-06-28,176,176,1,1,1,0,0,0,0.996590909090909
2019-07-31,176,176,1,1,1,0,0,0,0.996590909090909
2019-08-30,176,176,1,1,1,0,0,0,0.996590909090909
2019-09-30,176,176,1,1,1,0,0,0,0.996590909090909
2019-10-31,176,176,1,1,1,0,0,0,0.996590909090909
2019-11-29,177,177,1,1,1,0,0,0,0.9966101694915253
2019-12-30,177,177,1,1,1,0,0,0,0.9966101694915253
2020-01-31,177,177,1,1,1,0,0,0,0.9966101694915253
2020-02-28,177,177,1,1,1,0,0,0,0.9966101694915253
2020-03-31,177,177,0,0,0,0,0,0,1.0
2020-04-29,177,177,0,0,0,0,0,0,1.0
2020-05-29,177,177,0,0,0,0,0,0,1.0
2020-06-30,177,177,0,0,0,0,0,0,1.0
2020-07-31,178,178,0,0,0,0,0,0,1.0
2020-08-31,178,178,0,0,0,0,0,0,1.0
2020-09-29,178,178,0,0,0,0,0,0,1.0
2020-10-30,179,179,0,0,0,0,0,0,1.0
2020-11-30,179,179,0,0,0,0,0,0,1.0
2020-12-30,179,179,0,0,0,0,0,0,1.0
2021-01-29,180,180,1,1,1,0,0,0,0.9966666666666666
2021-02-26,180,180,1,1,1,0,0,0,0.9966666666666666
2021-03-31,181,181,1,1,1,0,0,0,0.996685082872928
2021-04-30,181,181,1,1,1,0,0,0,0.996685082872928
2021-05-31,183,183,2,2,2,0,0,0,0.9934426229508195
2021-06-30,183,183,2,2,2,0,0,0,0.9934426229508195
2021-07-30,184,184,2,2,2,0,0,0,0.9934782608695651
2021-08-31,186,186,2,2,2,0,0,0,0.9935483870967741
2021-09-30,187,187,2,2,2,0,0,0,0.9935828877005347
2021-10-29,187,187,2,2,2,0,0,0,0.9935828877005347
2021-11-30,189,189,3,3,3,0,0,0,0.9904761904761904
2021-12-30,189,189,3,3,3,0,0,0,0.9904761904761904
2022-01-28,190,190,3,3,3,0,0,0,0.9905263157894736
2022-02-28,190,190,3,3,3,0,0,0,0.9905263157894736
2022-03-31,190,190,0,0,0,0,0,0,0.9999999999999999
2022-04-29,190,190,0,0,0,0,0,0,0.9999999999999999
2022-05-31,190,190,0,0,0,0,0,0,0.9999999999999999
2022-06-30,190,190,0,0,0,0,0,0,0.9999999999999999
2022-07-29,190,190,0,0,0,0,0,0,0.9999999999999999
2022-08-31,190,190,0,0,0,0,0,0,0.9999999999999999
2022-09-30,190,190,0,0,0,0,0,0,0.9999999999999999
2022-10-31,190,190,0,0,0,0,0,0,0.9999999999999999
2022-11-30,190,190,0,0,0,0,0,0,0.9999999999999999
2022-12-29,190,190,0,0,0,0,0,0,0.9999999999999999
2023-01-31,190,190,0,0,0,0,0,0,0.9999999999999999
2023-02-28,190,190,0,0,0,0,0,0,0.9999999999999999
2023-03-31,190,190,0,0,0,0,0,0,0.9999999999999999
2023-04-28,190,190,0,0,0,0,0,0,0.9999999999999999
2023-05-31,192,192,2,2,2,0,0,0,0.9937499999999999
2023-06-30,192,192,2,2,2,0,0,0,0.9937499999999999
2023-07-31,192,192,2,2,2,0,0,0,0.9937499999999999
2023-08-31,192,192,2,2,2,0,0,0,0.9937499999999999
2023-09-27,192,192,2,2,2,0,0,0,0.9937499999999999
2023-10-31,193,193,2,2,2,0,0,0,0.993782383419689
2023-11-30,194,194,2,2,2,0,0,0,0.9938144329896906
2023-12-28,194,194,2,2,2,0,0,0,0.9938144329896906
2024-01-31,194,194,2,2,2,0,0,0,0.9938144329896906
2024-02-29,195,195,2,2,2,0,0,0,0.9938461538461537
2024-03-29,195,195,2,2,2,0,0,0,0.9938461538461537
2024-04-30,195,195,0,0,0,0,0,0,0.9999999999999999
2024-05-31,196,196,0,0,0,0,0,0,0.9999999999999999
2024-06-28,196,196,0,0,0,0,0,0,0.9999999999999999
2024-07-31,197,197,0,0,0,0,0,0,0.9999999999999999
2024-08-30,197,197,0,0,0,0,0,0,0.9999999999999999
2024-09-30,197,197,0,0,0,0,0,0,0.9999999999999999
2024-10-31,197,197,0,0,0,0,0,0,0.9999999999999999
2024-11-29,197,197,0,0,0,0,0,0,0.9999999999999999
2024-12-30,197,197,0,0,0,0,0,0,0.9999999999999999
2025-01-31,197,197,0,0,0,0,0,0,0.9999999999999999
2025-02-28,198,198,0,0,0,0,0,0,0.9999999999999999
2025-03-31,198,198,0,0,0,0,0,0,0.9999999999999999
2025-04-30,198,198,0,0,0,0,0,0,0.9999999999999999
2025-05-30,199,199,0,0,0,0,0,0,0.9999999999999999
2025-06-30,199,199,0,0,0,0,0,0,0.9999999999999999
2025-07-31,199,199,0,0,0,0,0,0,0.9999999999999999
2025-08-29,199,199,0,0,0,0,0,0,0.9999999999999999
2025-09-30,199,199,0,0,0,0,0,0,0.9999999999999999
2025-10-31,199,199,0,0,0,0,0,0,0.9999999999999999
2025-11-28,200,200,1,1,1,0,0,0,0.9969999999999999
2025-12-30,200,200,1,1,1,0,0,0,0.9969999999999999
2026-01-30,200,200,1,1,1,0,0,0,0.9969999999999999
2026-02-27,200,200,1,1,1,0,0,0,0.9969999999999999
2026-03-31,200,200,0,0,0,0,0,0,0.9999999999999999
2026-04-30,200,200,0,0,0,0,0,0,0.9999999999999999
2026-05-29,200,200,0,0,0,0,0,0,0.9999999999999999
2026-06-30,200,200,0,0,0,0,0,0,0.9999999999999999
