signal_date,rows,tickers,momentum_score_missing,low_volatility_score_missing,composite_score_missing
2007-01-31,119,119,119.0,119.0,119
2007-02-28,119,119,119.0,119.0,119
2007-03-30,119,119,119.0,119.0,119
2007-04-30,119,119,119.0,119.0,119
2007-05-31,119,119,119.0,119.0,119
2007-06-29,120,120,120.0,120.0,120
2007-07-31,121,121,0.0,0.0,0
2007-08-31,121,121,0.0,0.0,0
2007-09-28,123,123,0.0,0.0,0
2007-10-31,123,123,0.0,0.0,0
2007-11-30,123,123,0.0,0.0,0
2007-12-28,124,124,0.0,0.0,0
2008-01-31,124,124,0.0,0.0,0
2008-02-29,124,124,0.0,0.0,0
2008-03-31,124,124,0.0,0.0,0
2008-04-30,124,124,0.0,0.0,0
2008-05-30,124,124,0.0,0.0,0
2008-06-30,124,124,0.0,0.0,0
2008-07-31,126,126,0.0,0.0,0
2008-08-29,126,126,0.0,0.0,0
2008-09-30,126,126,0.0,0.0,0
2008-10-31,127,127,0.0,0.0,0
2008-11-28,127,127,0.0,0.0,0
2008-12-30,127,127,0.0,0.0,0
2009-01-30,127,127,0.0,0.0,0
2009-02-27,127,127,0.0,0.0,0
2009-03-31,127,127,0.0,0.0,0
2009-04-30,127,127,0.0,0.0,0
2009-05-29,128,128,0.0,0.0,0
2009-06-30,128,128,0.0,0.0,0
2009-07-31,129,129,0.0,0.0,0
2009-08-31,129,129,0.0,0.0,0
2009-09-30,129,129,0.0,0.0,0
2009-10-30,130,130,0.0,0.0,0
2009-11-30,131,131,0.0,0.0,0
2009-12-30,132,132,0.0,0.0,0
2010-01-29,133,133,0.0,0.0,0
2010-02-26,134,134,0.0,0.0,0
2010-03-31,135,135,0.0,0.0,0
2010-04-30,135,135,0.0,0.0,0
2010-05-31,136,136,0.0,0.0,0
2010-06-30,136,136,0.0,0.0,0
2010-07-30,137,137,0.0,0.0,0
2010-08-31,137,137,0.0,0.0,0
2010-09-30,138,138,0.0,0.0,0
2010-10-29,138,138,0.0,0.0,0
2010-11-30,138,138,0.0,0.0,0
2010-12-30,138,138,0.0,0.0,0
2011-01-31,139,139,0.0,0.0,0
2011-02-28,140,140,0.0,0.0,0
2011-03-31,141,141,0.0,0.0,0
2011-04-29,141,141,0.0,0.0,0
2011-05-31,142,142,0.0,0.0,0
2011-06-30,145,145,0.0,0.0,0
2011-07-29,145,145,0.0,0.0,0
2011-08-31,145,145,0.0,0.0,0
2011-09-30,145,145,0.0,0.0,0
2011-10-31,145,145,0.0,0.0,0
2011-11-30,145,145,0.0,0.0,0
2011-12-29,146,146,0.0,0.0,0
2012-01-31,146,146,0.0,0.0,0
2012-02-29,146,146,0.0,0.0,0
2012-03-30,146,146,0.0,0.0,0
2012-04-30,146,146,0.0,0.0,0
2012-05-31,146,146,0.0,0.0,0
2012-06-29,146,146,0.0,0.0,0
2012-07-31,146,146,0.0,0.0,0
2012-08-31,146,146,0.0,0.0,0
2012-09-28,146,146,0.0,0.0,0
2012-10-31,148,148,0.0,0.0,0
2012-11-30,148,148,0.0,0.0,0
2012-12-28,148,148,0.0,0.0,0
2013-01-31,148,148,0.0,0.0,0
2013-02-28,148,148,0.0,0.0,0
2013-03-29,148,148,0.0,0.0,0
2013-04-30,148,148,0.0,0.0,0
2013-05-31,148,148,0.0,0.0,0
2013-06-28,148,148,0.0,0.0,0
2013-07-31,149,149,0.0,0.0,0
2013-08-30,149,149,0.0,0.0,0
2013-09-30,150,150,0.0,0.0,0
2013-10-31,151,151,0.0,0.0,0
2013-11-29,151,151,0.0,0.0,0
2013-12-30,152,152,0.0,0.0,0
2014-01-29,152,152,0.0,0.0,0
2014-02-28,152,152,0.0,0.0,0
2014-03-31,152,152,0.0,0.0,0
2014-04-30,153,153,0.0,0.0,0
2014-05-30,153,153,0.0,0.0,0
2014-06-30,153,153,0.0,0.0,0
2014-07-31,153,153,0.0,0.0,0
2014-08-29,153,153,0.0,0.0,0
2014-09-30,153,153,0.0,0.0,0
2014-10-31,154,154,0.0,0.0,0
2014-11-28,156,156,0.0,0.0,0
2014-12-30,157,157,0.0,0.0,0
2015-01-30,157,157,0.0,0.0,0
2015-02-27,157,157,0.0,0.0,0
2015-03-31,157,157,0.0,0.0,0
2015-04-30,157,157,0.0,0.0,0
2015-05-29,157,157,0.0,0.0,0
2015-06-30,157,157,0.0,0.0,0
2015-07-31,157,157,0.0,0.0,0
2015-08-31,157,157,0.0,0.0,0
2015-09-30,157,157,0.0,0.0,0
2015-10-30,158,158,0.0,0.0,0
2015-11-30,159,159,0.0,0.0,0
2015-12-30,159,159,0.0,0.0,0
2016-01-29,159,159,0.0,0.0,0
2016-02-29,159,159,0.0,0.0,0
2016-03-31,159,159,0.0,0.0,0
2016-04-29,159,159,0.0,0.0,0
2016-05-31,159,159,0.0,0.0,0
2016-06-30,159,159,0.0,0.0,0
2016-07-29,159,159,0.0,0.0,0
2016-08-31,159,159,0.0,0.0,0
2016-09-30,159,159,0.0,0.0,0
2016-10-31,159,159,0.0,0.0,0
2016-11-30,161,161,0.0,0.0,0
2016-12-29,161,161,0.0,0.0,0
2017-01-31,161,161,0.0,0.0,0
2017-02-28,161,161,0.0,0.0,0
2017-03-31,161,161,0.0,0.0,0
2017-04-28,161,161,0.0,0.0,0
2017-05-31,166,166,0.0,0.0,0
2017-06-30,166,166,0.0,0.0,0
2017-07-31,167,167,0.0,0.0,0
2017-08-31,167,167,0.0,0.0,0
2017-09-29,167,167,0.0,0.0,0
2017-10-31,168,168,0.0,0.0,0
2017-11-30,168,168,0.0,0.0,0
2017-12-28,169,169,0.0,0.0,0
2018-01-31,170,170,0.0,0.0,0
2018-02-28,170,170,0.0,0.0,0
2018-03-30,170,170,0.0,0.0,0
2018-04-30,170,170,0.0,0.0,0
2018-05-31,170,170,0.0,0.0,0
2018-06-29,170,170,0.0,0.0,0
2018-07-31,173,173,0.0,0.0,0
2018-08-31,174,174,0.0,0.0,0
2018-09-28,174,174,0.0,0.0,0
2018-10-31,174,174,0.0,0.0,0
2018-11-30,174,174,0.0,0.0,0
2018-12-28,174,174,0.0,0.0,0
2019-01-31,174,174,0.0,0.0,0
2019-02-28,175,175,0.0,0.0,0
2019-03-29,176,176,0.0,0.0,0
2019-04-30,176,176,0.0,0.0,0
2019-05-31,176,176,0.0,0.0,0
2019-06-28,176,176,0.0,0.0,0
2019-07-31,176,176,0.0,0.0,0
2019-08-30,176,176,0.0,0.0,0
2019-09-30,176,176,0.0,0.0,0
2019-10-31,176,176,0.0,0.0,0
2019-11-29,177,177,0.0,0.0,0
2019-12-30,177,177,0.0,0.0,0
2020-01-31,177,177,0.0,0.0,0
2020-02-28,177,177,0.0,0.0,0
2020-03-31,177,177,0.0,0.0,0
2020-04-29,177,177,0.0,0.0,0
2020-05-29,177,177,0.0,0.0,0
2020-06-30,177,177,0.0,0.0,0
2020-07-31,178,178,0.0,0.0,0
2020-08-31,178,178,0.0,0.0,0
2020-09-29,178,178,0.0,0.0,0
2020-10-30,179,179,0.0,0.0,0
2020-11-30,179,179,0.0,0.0,0
2020-12-30,179,179,0.0,0.0,0
2021-01-29,180,180,0.0,0.0,0
2021-02-26,180,180,0.0,0.0,0
2021-03-31,181,181,0.0,0.0,0
2021-04-30,181,181,0.0,0.0,0
2021-05-31,183,183,0.0,0.0,0
2021-06-30,183,183,0.0,0.0,0
2021-07-30,184,184,0.0,0.0,0
2021-08-31,186,186,0.0,0.0,0
2021-09-30,187,187,0.0,0.0,0
2021-10-29,187,187,0.0,0.0,0
2021-11-30,189,189,0.0,0.0,0
2021-12-30,189,189,0.0,0.0,0
2022-01-28,190,190,0.0,0.0,0
2022-02-28,190,190,0.0,0.0,0
2022-03-31,190,190,0.0,0.0,0
2022-04-29,190,190,0.0,0.0,0
2022-05-31,190,190,0.0,0.0,0
2022-06-30,190,190,0.0,0.0,0
2022-07-29,190,190,0.0,0.0,0
2022-08-31,190,190,0.0,0.0,0
2022-09-30,190,190,0.0,0.0,0
2022-10-31,190,190,0.0,0.0,0
2022-11-30,190,190,0.0,0.0,0
2022-12-29,190,190,0.0,0.0,0
2023-01-31,190,190,0.0,0.0,0
2023-02-28,190,190,0.0,0.0,0
2023-03-31,190,190,0.0,0.0,0
2023-04-28,190,190,0.0,0.0,0
2023-05-31,192,192,0.0,0.0,0
2023-06-30,192,192,0.0,0.0,0
2023-07-31,192,192,0.0,0.0,0
2023-08-31,192,192,0.0,0.0,0
2023-09-27,192,192,0.0,0.0,0
2023-10-31,193,193,0.0,0.0,0
2023-11-30,194,194,0.0,0.0,0
2023-12-28,194,194,0.0,0.0,0
2024-01-31,194,194,0.0,0.0,0
2024-02-29,195,195,0.0,0.0,0
2024-03-29,195,195,0.0,0.0,0
2024-04-30,195,195,0.0,0.0,0
2024-05-31,196,196,0.0,0.0,0
2024-06-28,196,196,0.0,0.0,0
2024-07-31,197,197,0.0,0.0,0
2024-08-30,197,197,0.0,0.0,0
2024-09-30,197,197,0.0,0.0,0
2024-10-31,197,197,0.0,0.0,0
2024-11-29,197,197,0.0,0.0,0
2024-12-30,197,197,0.0,0.0,0
2025-01-31,197,197,0.0,0.0,0
2025-02-28,198,198,0.0,0.0,0
2025-03-31,198,198,0.0,0.0,0
2025-04-30,198,198,0.0,0.0,0
2025-05-30,199,199,0.0,0.0,0
2025-06-30,199,199,0.0,0.0,0
2025-07-31,199,199,0.0,0.0,0
2025-08-29,199,199,0.0,0.0,0
2025-09-30,199,199,0.0,0.0,0
2025-10-31,199,199,0.0,0.0,0
2025-11-28,200,200,0.0,0.0,0
2025-12-30,200,200,0.0,0.0,0
2026-01-30,200,200,0.0,0.0,0
2026-02-27,200,200,0.0,0.0,0
2026-03-31,200,200,0.0,0.0,0
2026-04-30,200,200,0.0,0.0,0
2026-05-29,200,200,0.0,0.0,0
2026-06-30,200,200,0.0,0.0,0
